model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,TSLA,standard,False,51,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,52,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,53,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,54,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,55,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,56,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,57,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,58,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,59,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,60,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,61,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,62,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,63,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,64,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,65,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,66,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,67,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,68,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,69,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,70,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,71,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,72,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,73,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,74,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,75,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,76,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,77,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,78,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,79,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,80,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
