model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,base_estimator_max_depth,learning_rate,n_estimators,profit
AdaBoost,TSLA,standard,True,57,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,58,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,59,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,60,0.6046511627906976,0.5405405405405406,,,"{np.int64(0): np.int64(28), np.int64(1): np.int64(15)}",5,,True,3,0.5,100,643.5638732910138
AdaBoost,TSLA,standard,True,61,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,62,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,63,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,64,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,65,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,137.75463867187318
AdaBoost,TSLA,standard,True,66,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,67,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,68,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,69,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,70,0.5581395348837209,0.5128205128205128,,,"{np.int64(0): np.int64(26), np.int64(1): np.int64(17)}",5,,True,3,0.5,100,-9.165405273439319
AdaBoost,TSLA,standard,True,71,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,72,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,73,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
AdaBoost,TSLA,standard,True,74,0.5813953488372093,0.5263157894736842,,,"{np.int64(0): np.int64(27), np.int64(1): np.int64(16)}",5,,True,3,0.5,100,499.78732299804506
